病名-症型,症状,治法
月经先期-脾气虚证,月经周期提前 月经量多 月经色淡红 月经质清稀 神疲肢倦 气短懒言 小腹空坠 纳少 便溏 舌淡红 苔薄白 脉细弱,补脾 益气 摄血 调经
月经先期-肾气虚证,月经周期提前 月经量或多或少 月经色淡暗 月经质清稀 腰膝酸软 头晕 耳鸣 面色晦暗 面部暗斑 舌淡暗 苔白润 脉沉细,补益肾气 固冲 调经
月经先期-阳盛血热证,月经周期提前 月经量多 月经色深红 月经色紫红 月经质粘稠 心烦 面红 口干 小便短黄 大便燥结 舌质红 舌苔黄 脉数或滑数,清热 凉血 调经
月经先期-阴虚血热证,月经提前 月经量少 月经量多 月经色红 月经质稠 两颧潮红 手足心热 咽干 口燥 舌质红 苔少 脉细数,养阴 清热 调经 
月经先期-肝郁血热证,月经提前 月经量或多或少 月经色深红 月经色紫红 月经质稠 经行不畅 月经有块 少腹胀痛 胸闷胁胀 乳房胀痛 烦躁易怒 口苦 咽干 舌红 苔薄黄 脉弦数,疏肝 清热 凉血 调经
月经后期-肾虚证, 月经周期延后 月经量少 月经色暗淡 月经质清稀 腰膝酸软 头晕 耳鸣 面色晦暗 面部暗斑 舌淡 苔薄白 脉沉细,补肾 助阳 养血 调经
月经后期-血虚证, 月经周期延长 月经量少 月经色淡红 月经质清稀 小腹绵绵作痛 头晕眼花 心悸少寐 面色苍白 面色萎黄 舌质淡红 苔薄 脉细弱,补血 填精 益气 调经
月经后期-虚寒证, 月经延后 月经量少 月经色淡红 月经质清稀 小腹隐痛 喜暖喜按 腰酸无力 小便清长 大便稀溏 舌淡 苔白 脉沉迟 脉细弱,温阳 散寒 养血 调经
月经后期-实寒症, 月经周期延后 月经量少 月经色暗 月经有血块 小腹冷痛拒按 得热痛减 畏寒肢冷 面色青白 舌质淡暗 苔白 脉沉紧,温经 散寒 活血 调经
月经后期-气滞证, 月经周期延后 月经量少 月经色暗红 月经有血块 小腹胀痛 精神抑郁 经前胸胁胀痛 经前乳房胀痛 舌质正常 舌质红 苔薄白 苔微黄 脉弦或弦数,理气 行滞 和血 调经
月经后期-痰湿证, 月经后期 月经量少 月经血夹杂黏液 形体肥胖 脘闷呕恶 腹满便溏 带下量多 舌淡胖 苔白腻 脉滑,燥湿 化痰 理气 调经
月经先后无定期-肝郁证, 经行或先或后 月经量或多或少 月经色暗红 月经有血块 经行不畅 胸胁胀痛 乳房胀痛 少腹胀痛 精神郁闷 时欲太息 嗳气食少 舌苔薄白 舌苔薄黄 脉弦,疏肝 解郁 和血 调经
月经先后无定期-肾虚证, 经行或先或后 月经量少 月经色淡暗 月经质稀 头晕 耳鸣 腰酸腿软 小便频数 舌淡 苔薄 脉沉细,补肾 益气 养血 调经
月经过多-气虚证, 月经量多 月经色淡红 月经质清稀 神疲体倦 气短懒言 小腹空坠 面色皓白 舌淡 苔薄 脉细弱,补气 摄血 固冲
