病名-证型,症状
不孕症-肾气虚证,婚久不孕 月经不调 停经 月经量多 月经量少 月经色淡暗 月经质稀 腰酸膝软 头晕耳鸣 精神疲倦 小便清长 舌淡 舌苔薄白 脉沉细 
不孕症-肾阳虚证,婚久不孕 初潮延迟 月经后期 月经量少 月经色淡 月经质烯 停经 带下量多 带下淸稀如水 腰膝酸冷 性欲淡漠 面色晦暗 大便溏薄 小便清长 舌淡 舌苔白 脉沉迟
不孕症-肾阴虚证,婚久不孕 月经先期 月经量少 月经色红 月经质稠 停经 带下量少 阴中干涩 腰酸膝软 头晕耳鸣 形体消應 五心烦热 失眠多梦 舌淡 舌红 少舌苔 脉细 脉细数
不孕症-肝气郁结证,婚久不孕 月经周期先后不定 月经量多 月经量少 月经色暗 月经有血块 经行腹痛 经前胸胁胀痛、经前乳房胀痛 情志抑郁 烦躁易怒 舌淡红 苔薄白 脉弦
不孕症-痰湿内阻证,婚久不孕 月经后期 停经 带下量多 带下色白 带下质黏 形体肥胖 胸闷呕恶 心悸头晕 舌淡胖 苔白腻 脉滑
不孕症-瘀滞胞宫证,婚久不孕 月经后期 月经量多 月经量少 月经色紫黑 月经有血块 痛经 小腹疼痛 少腹疼痛  肛门坠胀不适 舌质紫暗 舌边有瘀点 脉弦涩
癥瘕-气滞血瘀证,下腹包块质硬 下腹胀 下腹痛 经期延长 月经量多 月经色暗 月经夹血块 经行小腹疼痛 精神抑郁 善太息 胸胁胀闷 乳房胀痛 面色晦暗 肌肤不润 舌质暗 舌边见瘀点 舌见療斑 苔薄白 脉弦涩
癥瘕-寒凝血瘀证,下腹包块质硬 小腹冷痛 喜温 月经后期 月经量少 经行腹痛 月经色暗淡 月经有血块 面色晦暗 形寒肢冷 手足不温 舌质淡暗 舌边见瘀点 舌边见瘀斑 苔白 脉弦紧
癥瘕-痰湿瘀结证,下腹包块按之不坚 小腹胀 小腹满 月经后期 闭经 月经质黏稠 月经夹血块 体形肥胖 胸脘痞闷 肢体困倦 带下量多 带下色白 带下质黏稠 舌暗淡 舌边见瘀点 舌边见瘀斑 苔白腻 脉弦滑 脉沉滑
癥瘕-气虛血瘀证,下腹部结块 下腹空坠 月经量多 经期延长 月经色淡红 月经有血块 经行下腹痛 经后下腹痛 面色无华 气短懒言 语声低微 倦怠嗜卧 纳少便溏 舌质暗淡 舌边有瘀点 舌边有瘀斑 苔薄白 脉细涩
