病名-证型,症状,治法
妊娠恶阻-胃虚证, 妊娠早期 恶心 呕吐 甚至食入即吐 脘腹胀闷 不思饮食 头晕体倦 怠惰思睡 舌淡 苔白 脉缓滑无力,健胃 和中 降逆 止呕
妊娠恶阻-肝热证, 妊娠早期 呕吐酸水 呕吐苦水 胸胁胀满 嗳气叹息 头晕 目眩 口苦 咽干 渴喜冷饮 便秘溲赤 舌红 苔黄燥 脉弦滑数,清肝 和胃 降逆 止呕
妊娠恶阻-痰滞证, 妊娠早期 呕吐痰涎 胸膈满闷 不思饮食 口中淡腻 头晕 目眩 心悸气短 舌淡胖 苔白腻 脉滑,化痰 除湿 降逆 止呕
异位妊娠-胎元阻络证, 停经 不规则阴道流血 下腹隐痛 B超检查一侧附件区或有包块 血HCG阳性 舌质暗 苔薄 脉弦滑,化瘀 消癥 杀胚
异位妊娠-胎瘀阻滞证, 停经 小腹坠胀不适 B超检查或有一侧附件区局限性包块 血HCG曾经阳性转为阴性 舌质暗 苔薄 脉弦细涩,化瘀 消癥
异位妊娠-气血亏脱证, 停经 不规则阴道流血 突发下腹剧痛 血HCG阳性 B超提示有盆腔、腹腔积液 面色苍白 冷汗淋漓 四肢厥冷 烦躁不安 舌淡 苔白 脉细微,益气 止血 固脱
异位妊娠-正虚血瘀证, 输卵管妊娠发生破损不久 腹痛拒按 不规则阴道流血 血HCG阳性 B超检查盆腔一侧有混合型包块 头晕神疲 舌质暗 苔薄 脉细弦,益气 养血 化瘀 杀胚
异位妊娠-瘀结成徵证, 输卵管发生破损已久 腹痛减轻或消失 小腹坠胀不适 血HCG曾经阳性转为阴性 检查盆腔一侧有局限的混合型包块 舌质暗 苔薄 脉弦细涩,活血 化瘀 消癥
胎漏_胎动不安-肾虚证, 妊娠期腰膝酸软 腹痛下坠 阴道少量流血 血色暗淡 屡孕屡堕 头晕 耳鸣 小便频数 夜尿多 舌淡 苔白 脉沉滑尺弱,固肾 安胎 佐以益气
胎漏_胎动不安-气血虚弱证, 妊娠期 阴道少量下血 腰酸 小腹空坠而痛 伴有阴道少量流血 血色淡红 血质稀薄 神疲肢倦 面色皓白 心悸气短 舌质淡 苔薄白 脉滑无力,益气 养血 固冲 安胎
胎漏_胎动不安-实热证, 妊娠期腰酸 小腹灼痛 阴道少量流血 血色鲜红 血色深红 血质稠 渴喜冷饮 小便短黄 大便秘结 舌红 苔黄而干 脉滑数 脉弦数,清热 凉血 固冲 止血
胎漏_胎动不安-虚热证, 妊娠期腰酸 小腹灼痛 阴道少量流血 血色鲜红 血质稀 心烦不安 五心烦热 咽干少津 便结溺黄 舌红 苔少 脉细数,滋阴 清热 养血 安胎
