id,通用名称,药品名称,注意事项,注意事项关系
0,奥氮平片,,警告增加老年痴呆型精神病患者的死亡风险老年痴呆型精神病患者服用非典型抗精神病药，与安慰剂组相比，可明显提高死亡危险性。奥氮平为获准用于治疗痴呆相关性精神病患者。据报道，在痴呆相关精神病老年患者进行的临床试验，奥氮平治疗组的死亡率显著高于安慰剂组(分别为3.5%和1.5%)。其他详见说明书。?,老年痴呆型精神病患者的死亡风险-警告
1,奥氮平片,,奥氮平可引起嗜睡，从事危险作业时应谨慎。若和酒精同服，可使奥氮平的镇静作用增强。患者长期服用抗精神病药（包括奥氮平），如果出现迟发性运动障碍的体征或症状，应减药或停药。若出现神经阻滞剂恶性综合症（NMS）的临床表现（如高热肌强直精神状态改变及植物神经紊乱等），应立即停用所有抗精神病药，包括奥氮平。,嗜睡-谨慎，神经阻滞剂恶性综合症（NMS）-禁用，迟发性运动障碍-停用
2,奋乃静片,,1．患有心血管疾病(如心衰、心肌梗死、传导异常)应慎用。2．出现迟发性运动障碍，应停用所有的抗精神病药。3．出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。4．肝、肾功能不全者应减量。5．癫痫患者应慎用。6．应定期检查肝功能与白细胞计数。7．用药期间不宜驾驶车辆、操作机械或高空作业。,心血管疾病-慎用，迟发性运动障碍-停用，过敏性皮疹及恶性综合征-停用，肝、肾功能不全者-减量，肝功能与白细胞计数-检查，，心衰-慎用，心肌梗死-慎用，传导异常-慎用，驾驶车辆-停用，操作机械-停用，高空作业-停用
3,利培酮片,,1.患有心血管疾病（如心衰、心肌梗塞、传导异常、脱水、失血及脑血管病变）的人应慎用，从小剂量开始并应逐渐增加剂量。2.由于本品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生（体位性）低血压，此时则应考虑减量。3.同其它具有多巴胺受体拮抗剂性质的药物相似，引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药。4.已有报道指出，服用经典的抗精神病药会出现恶性症状群，其特征为高热、肌肉僵直、颤抖、意识改变和肌酸磷酸激酶水平升高。此时应停用包括本品在内的所有抗精神病药物。5.患有帕金森氏综合症的病人应慎用本品，因为在理论上该药会引起此病的恶化。6.经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人仍应慎用本品。7.服用本品的患者应避免进食过多，以免发胖。8.鉴于本品对中枢神经系统的作用，在与其它作用于中枢的药物同时服用时应慎重。9.本品对需要警觉性的活动有影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，脱水-慎用，失血-慎用，脑血管病变-慎用，体位性低血压-减量，迟发性运动障碍-停用，恶性症状群-停用，高热-停用，肌肉僵直-停用，颤抖-停用，意识改变-停用，肌酸磷酸激酶水平升高-停用，帕金森氏综合症-慎用，癫痫-慎用，中枢的药物-慎用，
4,富马酸喹硫平片,,由于本品经肝脏代谢，因此，肝功能不全者的病人慎服，其余详见盒内说明书。,肝功能不全-慎用
5,阿立哌唑口崩片,,null,
6,富马酸喹硫平片,,1．由于本品经肝脏代谢，因此，肝功能不全的病人慎用。如需使用本品治疗的病人应注意剂量的选择，并监测肝功能情况。2．本品应慎用于已知有心血管疾病、脑血管疾病或其它有低血压倾向的病人。富马酸喹硫平可能会导致直立性低血压，尤其是在最初的加药期在老年患者中上述现象较年轻患者多见。如在剂量递增过程中出现低血压，应返回至前一较低的剂量。在临床试验中，使用本品不伴发持久性Q-Tc间期延长，但与其它抗精神病药物一样，如果将本品与其它己知会延长Q_Tc间期的药物合用时应当谨慎，尤其是用于老年人时。3．与其它抗精神病药物一样，当本品用于治疗有抽搐病史的患者时应慎用。4．抗精神病药物治疗会伴发神经阻滞剂恶性综合症征。临床表现包括高热、精神状态改变、肌肉强直、植物神经功能紊乱、肌酸磷酸激酶活性增加、横纹肌溶解和急性肾功能衰竭，若使用本品治疗的过程中出现此种情况，应停用本品并给予适当的治疗。5．与其它抗精神病药物一样，长期服用本品治疗也有导致迟发性运动障碍的可能性，如果出现迟发性运动障碍的体征和症状，应考虑减少本品剂量或停用。6．在接受长期富马酸喹硫平治疗的患者中，发现有晶体的变化，但其与使用本品的因果关系尚不确定。患者在初次接受本品前应对晶体进行检查，并在长期的治疗中每半年复查一次。7．使用本品的患者，可能会出现认知和运动功能损伤，因此会影响其判断、思考和运动机能，应避免驾驶摩托车(包括汽车)或操作具危险性的机械。8．抗精神病药物能引起体温下降，虽然此症状尚未在本品的使用中出现，但服用本品者应注意避免剧烈运动、高温、合用抗副交感神经作用的药物或发生脱水。9．抗精神病药物能引起食道功能障碍和误吸，具有吸入性肺炎危险的患者应慎用本品。10．服用本品的患者不应饮用含酒精的饮料。,肝功能不全-慎用，心血管疾病-慎用，脑血管疾病-慎用，低血压-慎用，直立性低血压-导致，延长Q_Tc间期的药物-慎用，抽搐-慎用，神经阻滞剂恶性综合症征-停用，高热-停用，精神状态改变-停用，肌肉强直-停用，植物神经功能紊乱-停用，肌酸磷酸激酶活性增加-停用，横纹肌溶解-停用，急性肾功能衰竭-停用，迟发性运动障碍-停用，吸入性肺炎危险-慎用，酒精-慎用，驾驶摩托车-停止操作，操作具危险性的机械-停止操作，剧烈运动-避免，高温-避免，合用抗副交感神经作用的药物-避免，脱水-避免
7,阿立哌唑片,,1.体位性低血压因阿立哌唑具有α1-肾上腺素能受体的拮抗作用，可能引起体位性低血压。在阿立哌唑治疗精神分裂症（n=926）的5个短期安慰剂对照试验中，与体位性低血压相关事件的发生率包括体位性低血压（安慰剂1﹪，阿立哌唑1.9﹪）、体位性头晕眼花（安慰剂1﹪、阿立哌唑0.9﹪）和昏厥（安慰剂1﹪、阿立哌唑0.6%）。对于血压体位性显著改变（定义从仰卧到直立时收缩压至少降低30mmHg）的发生率，阿立哌唑与安慰剂之间无统计学差异（阿立哌唑治疗者中为14﹪，安慰剂治疗者中为12﹪）。?阿立哌唑应慎用于心血管疾病（心肌梗塞、缺血性心脏病、心脏衰竭或传导异常病史）患者、脑血管疾病患者或诱发低血压的情况（脱水，血容量过低和降压药治疗）。?2.癫痫发作在短期安慰剂对照试验中，有0.1﹪（1/926）的阿立哌唑治疗者出现癫痫发作。与其它抗精神病药一样，阿立哌唑应慎用于有癫痫病史或癫痫阈值较低的情况（如阿尔茨海默氏病性痴呆），癫痫阈值较低的情况在65岁以上人群较常见。?3.潜在的认知和运动损害在短期安慰剂对照试验中，11﹪的阿立哌唑治疗者报道有嗜睡，而安慰剂治疗者为8﹪；0.1﹪（1/926）的阿立哌唑治疗者因嗜睡导致停药。与安慰剂相比，尽管阿立哌唑引起嗜睡的发生率相对略有升高，但与其它抗精神病药一样，阿立哌唑也可能会损害判断、思考或运动技能。应警告患者小心操作危险机器（包括汽车），直到确信阿立哌唑治疗不会给他们带来负面影响。?4.体温调节干扰机体降低体温的能力是抗精神病药的特征。当阿立哌唑处方给将导致体温升高的情况（如剧烈运动、过热、同时服用抗胆碱能活性药物、脱水）的患者时，建议应进行适当的护理。?5.吞咽障碍食管运动障碍和误吸与使用抗精神病药有关。吸入性肺炎是老年患者，尤其是有进行性阿尔茨海默氏病性痴呆患者发病和死亡的常见原因。阿立哌唑和其他抗精神病药应慎用于有吸入性肺炎风险性的患者。?(详见包装内部说明书),心血管疾病-慎用，心肌梗塞-慎用，缺血性心脏病-慎用，心脏衰竭-慎用，传导异常病史-慎用，脑血管疾病-慎用，低血压-慎用，脱水-慎用，血容量过低-慎用，降压药-慎用，癫痫-慎用，阿尔茨海默氏病性痴呆-慎用，小心操作危险机-警告，剧烈运动-护理，过热-护理，-注意事项抗胆碱能活性药物-护理，脱水-护理，吸入性肺炎-慎用
8,利培酮口崩片,,"1.心血管疾病的病人(如心衰、心肌梗死、传导异常、脱水、失血及脑血管病变)应慎用，从小剂量开始并应逐渐加大剂量。2.由于本品具有α受体阻断活性，因此在用药初期和加药速度过快时会发生(体位性)低血压，此时则应考虑减量。3.同其它具有多巴胺受体拮抗作用的药物相似，可引起迟发性运动障碍，其特征为有节律的不随意运动，主要见于舌及面部。如果出现迟发性运动障碍，应停止服用所有的抗精神病药物。4.已有报道指出，服用经典的抗精神病药物会出现恶性综合征，其特征为高热、颤抖、意识改变和肌酸磷酸酶水平升高。此时应停用包括本品在内的所有抗精神病药物。5.患有帕金森氏综合征的病人应慎用本品，因为在理论上该药会引起此病的恶化。6.经典的抗精神病药会降低癫痫的发作阈值，故患有癫痫的病人应慎用本品。7.服用本品的患者应避免进食过多，以免发胖。8.鉴于本品对中枢神经系统的作用，与其它作用于中枢的药物同时服用时应慎重。9.本品对需要警觉性的活动有影响。因此，在了解到患者对该药的敏感性前，建议患者不应驾驶汽车或操作机器。10.在老年痴呆患者(平均年龄85岁，范围73-97岁)参加安慰剂对照的临床研究中，发现利培酮组脑血管病不良事件的发生率(3.3%)比较高，包括脑血管意外、心脏衰竭和短暂性脑缺血发作，发生率比安慰剂(1.2%)高三倍。该研究还发现,利培酮或呋塞米同时使用时，死亡率高于单独使用利培酮或呋塞米的患者，分别为7.3%(平均年龄89岁，范围75-97岁)、3.1%(平均年龄84岁，范围70-96岁)和4.1%(平均年龄80岁，范围67-90岁)。在完成的4项临床研究中，有2项研究发现了以上情况。并没有找到病理生理学方面的依据来解释以上发现，并且患者的残废原因没有固定模式。尽管如此，对以上患者合并给予利培酮和呋塞米时需谨慎评估风险利益。在合并其它利尿剂的服用利培酮的患者中，并没有出现以上死亡率增加的现象。但是，对于老年痴呆患者，总体而言脱水是很重要的致死因素，所以仍应尽量避免使用利尿剂。",心血管疾病-慎用，心衰-慎用，心肌梗死-慎用，传导异常-慎用，脱水-慎用，失血及脑血管病变-慎用，(体位性)低血压-减量，迟发性运动障碍-停用，恶性综合征-停用，高热-停用，颤抖-停用，意识改变-停用，肌酸磷酸酶水平升高-停用，帕金森氏综合征-慎用，癫痫-慎用，中枢的药物-慎用，驾驶汽车-停止，操作机器-停止，利尿剂-慎用
9,氯氮平片,,1、出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。2、中枢神经抑制状态者慎用。尿潴留患者慎用。3、治疗头3个月内应坚持每1-2周检查白细胞计数及分类，以后定期检查。4、定期检查肝功能与心电图。5、定期检查血糖，避免发生糖尿病或酮症酸中毒。6、用药期间不宜驾驶车辆、操作机械或高空作业。7、用药期间出现不明原因发热，应暂停用药。,过敏性皮疹-停用，恶性综合征-停用，中枢神经抑制状态者-慎用，尿潴留-慎用，白细胞计数及分类-检查，肝功能-检查，心电图-检查，血糖-检查，驾驶车辆-不宜，-操作机械-不宜，高空作业-不宜，不明原因发热-停用
