疾病链接,相关症状
http://www.qiuyi.cn/department/16/index.html,消瘦-乏力-四肢关节痛-我想很多患者初闻间质性肺病都会感到茫然，不知道其有什么症状。下面，我们就来了解一下间质性肺病的各种症状，若是有的朋友发现自己患有下列几种症状，那么一定要尽快前往医院检查，若是确诊要及早入院治疗。-气促：-气促是最常见的首诊症状，多为隐袭性，在较剧烈活动时开始，渐进性加重，常伴浅快呼吸。很多患者伴有明显的易疲劳感。多数ILD患者有咳嗽症状，多以干咳为主。个别病例有少量白痰或白泡沫痰。胸痛较少见，个别结节病患者诉胸骨后隐痛，亦可见于ILD合并胸膜病变的患者。喘鸣较少见，主要见于外源性过敏性肺泡炎或嗜酸细胞性肺炎患者。咯血也较少见，主要见于弥漫性肺泡出血综合征，肺血管病变及肺部恶性病变。-呼吸频率增快：-体征中呼吸频率增快常是ILD的最早表现。不少患者稍事活动后即出现明显的呼吸频率增快(24次/MIN)。-间质性肺病是一种严重的肺疾病，若是有患者朋友出现上述几种症状，那么一定要及时到医院检查，确定自己是否患有此病，若是确诊患有间质性肺疾病，一定要及时治疗，切勿拖延，希望大家在平时日常工作生活中要多注意自己的身体，一旦出现不适症状，要及时到医院检查，切勿忽视，延误最佳治疗时间。
http://www.qiuyi.cn/department/17/index.html,呼吸急促-出冷汗-一、-哮喘常见症状-鼻煽、喉鸣声、干咳、呼吸困难、喘息、咳嗽、咳痰、小支气管平滑肌挛缩、胸闷-二、哮喘症状：-1、典型的支气管哮喘，发作前有先兆症状如打喷嚏、流涕、咳嗽、胸闷等，如不及时处理，可因支气管阻塞加重而出现哮喘，严重者可被迫采取坐位或呈端坐呼吸，干咳或咯大量白色泡沫痰，甚至出现紫绀等。但一般可自行或用自行或用平喘药物等治疗后缓解。某些患者在缓解数小时后可再次发作，甚至导致哮喘持续状态。-2、在临床上还存在非典型表现的哮喘。如咳嗽变异型哮喘，患者在无明显诱因咳嗽2个月以上，夜间及凌晨常发作，运动、冷空气等诱发加重，气道反应性测定存在有高反应性，抗生素或镇咳、祛痰药治疗无效，使用支气管解痉剂或皮质激素有效，但需排除引起咳嗽的其他疾病。-三、哮喘诊断标准：-1、反复发作喘息，呼吸困难，胸闷或咳嗽、多与接触变应原、病毒感染、运动或某些刺激物有关。-2、发作时双肺可闻及散在或弥漫性、以呼气期为主的哮鸣音。-3、上述症状可经治疗缓解或自行缓解。-4、排除可引起喘息或呼吸困难的其它疾病。-5、对症状不典型者(如无明显喘息或体征)，应最少具备以下一项试验阳性：①若基础FEV1(或PEF)<80%正常值，吸入β2激动剂后fev1(或pef)增加15%以上。②pef变异率(用呼气峰流速仪测定，清晨及入夜各测一次)≥20%。③支气管激发试验(或运动激发试验)阳性。-查看更多关于-哮喘有哪些症状-的相关常识>>
http://www.qiuyi.cn/department/18/index.html,上呼吸道卡他症状
http://www.qiuyi.cn/department/19/index.html,"呼吸困难-咳嗽-众所周知，职业肺病是一种严重危害人体的肺部疾病。其主要原因是工作环境中有害粉尘比较多的一个场所。然而，长时间的工作就会使人患上职业肺病。那么，职业肺病的症状表现有哪些呢?以下内容为大家详细的介绍一下。-1、疲劳易乏力以清晨及下午明显，但晚上可兴奋，有时烦躁失眠。-2、体重减轻又找不出别的原因。-3、胃纳减退，食而无味。-4、慢性咳嗽或伴有咳痰，早晨干咳。-5、出现痰中带血或咯血。-6、午后潮热，下午或晚上低热，后半夜退尽，像潮水那样有涨有落。-7、夜间盗汗并伴疲劳感，有时反复出现。-8、胸痛、胸闷可伴有发热，有可能患胸膜炎。-9、妇女出现月经不调如经量减少、延迟或闭经;男性病人尤其青年人易遗精。-有以上症状者宜及时去医疗单位检查，如作胸透、胸片、痰找结核菌、结核菌素试验等，以便及早发现肺病。-各种肺病的症状表现：肺炎是由多种病源菌引起的肺充血，水肿，炎性细胞浸润和渗出性病变。临床上常见，可发生于任何的人群。临床表现主要有发热，咳嗽，咳痰，呼吸困难，肺部X线可见炎性浸润阴影。-肺结核的症状：典型肺结核起病缓慢，病程较长，有低热、倦怠、食欲不振、咳嗽及少量咯血。但多数患者病灶轻微，无显著症状，经X线健康检查时偶被发现。亦有以空然咯血才被确诊，追溯其病史可有轻微的全身症状。-肺结核全身症状：表现为午后低热、乏力、食欲减退、消瘦、盗汗等。若肺部病灶进展播散，常呈不规则高热。妇女可有月经失调或闭经。-肺癌的症状：肺癌的临床表现与癌肿的部位、大小、是否压迫、侵及邻近器官以及有无转移等情况有密切关系。癌肿在较大的支气管内生长,常出现刺激性咳嗽。癌肿增大影响支气管引流,继发肺部感染时可以有脓痰。-另一个常见的症状是血痰,通常为痰中带血点、血丝或间断少量咯血;有些病人即使出现一两次血痰对诊断也具有重要参考价值。有的病人由于肿瘤造成较大支气管阻塞,可以出现胸闷、气短、发热和胸痛等症状。-以上内容是对职业肺病的症状表现有哪些的详细介绍，希望对大家有所帮助。专家提示，如果发现身边的人得了职业肺病应尽早送往医院进行医治，以免错过最佳治疗时间。-查看更多关于-职业肺病的症状表现有哪些-的相关常识>>"
http://www.qiuyi.cn/department/20/index.html,呼吸困难-慢性咳嗽-一-、慢性阻塞性肺病常见症状-呼吸困难、喘息、胸闷、呼吸音减弱、食欲减退、气短、啰音、桶状胸、肺纤维化-二、慢性阻塞性肺病症状-l.慢性咳嗽：随病程发展可终身不愈。常晨间咳嗽明显，夜间有阵咳或排痰。-2.咳痰：一般为白色粘液或浆液性泡沫性痰，偶可带血丝，清晨排痰较多。急性发作期痰量增多，可有脓性痰。-3.气短或呼吸困难：早期在劳力时出现，后逐渐加重，以致在日常活动甚至休息时也感到气短。是COPD的标志性症状。-4.喘息和胸闷：部分患者特别是重度患者或急性加重时出现喘息。5.其他晚期患者有体重下降，食欲减退等。-三、慢性阻塞性肺病体征-早期体征可无异常，随疾病进展出现以下体征：-l.视诊及触诊：胸廓前后径增大，剑突下胸骨下角增宽(桶状胸)。部分患者呼吸变浅，频率增快，严重者可有缩唇呼吸等;触觉语颤减弱。-2.叩诊：肺部过清音，心浊音界缩小，肺下界和肝浊音界下降。3.听诊两肺呼吸音减弱，呼气延长，部分患者可闻及干性啰音和(或)湿性啰音。-查看更多关于-慢性阻塞性肺疾病有哪些症状-的相关常识>>
http://www.qiuyi.cn/department/21/index.html,发烧-咳嗽-咳痰
http://www.qiuyi.cn/department/22/index.html,干咳-咳嗽-慢性咳嗽症状：-慢性咳嗽以咳嗽变异性哮喘最为常见，该病以咳嗽为唯一症状，故临床特点缺乏特异性，误诊率非常高。因此对于慢性反复发作的咳嗽应该想到该病的可能。由于约50%-80%的咳嗽变异性哮喘儿童可发展为典型哮喘病，约10-33%的成人咳嗽变异性哮喘也可发展为典型哮喘，许多作者将咳嗽变异性哮喘视为哮喘病的前驱表现，因此咳嗽变异性哮喘的早期诊断和早期治疗对预防哮喘病是非常重要的。主要有以下临床特点：-一、发病人群：儿童发病率较高，已发现30%以上的儿童干咳与咳嗽变异性哮喘有关。在成人中，咳嗽变异性哮喘发病年龄较典型哮喘为高，约有13%患者年龄大于50岁，中年女性较多见。-二、临床表现：咳嗽可能是哮喘的唯一症状，主要为长期顽固性干咳，常常在吸入刺激性气味、冷空气、接触变应原、运动或上呼吸道感染后诱发，部分患者没有任何诱因。多在夜间或凌晨加剧。有的患者发作有一定的季节性，以春秋为多。患者就诊时多已经采用止咳化痰药和抗生素治疗过一段时间，几乎没有疗效，而应用糖皮质激素、抗过敏药物、β2受体激动剂和茶碱类则可缓解。-三、过敏病史：患者本身可有较明确的过敏性疾病史，如过敏性鼻炎、湿疹等。部分患者可追溯到有家族过敏史。-四、体征：虽然其也可以有支气管痉挛，但多发生在末梢的细小支气管或短暂性痉挛，因此体检时听不到或很少听到哮鸣音。-查看更多关于-慢性咳嗽有哪些症状-的相关常识>>
http://www.qiuyi.cn/department/23/index.html,胸痛-呼吸困难-胸膜疾病症状：-1.病情轻者无症状。-2.主要临床表现为胸痛、咳嗽、胸闷、气急，甚则呼吸困难，感染性胸膜炎或胸腔积液继发感染时，伴有恶寒、发热症状。-3.不同病因所致的胸膜炎可伴有相应疾病的临床表现。胸痛是临床上常见的症状，原因颇多，且胸痛的部位和严重程度，并不一定和病变的部位和严重程度相一致。外伤、炎症、肿瘤及某些理化因素所致组织损伤刺激肋间神经，膈神经，脊神经后根和迷走神经公分布在食管，支气管，肺脏，胸膜，心脏及主动脉的神经未梢，均可引起胸痛。鉴别时可先分析属于哪一大类，再在此大类中鉴别各个原因。-查看更多关于-胸膜疾病有哪些症状-的相关常识>>
http://www.qiuyi.cn/department/625/index.html,鼻翼扇动-干咳-一、-小儿哮喘常见症状-支气管平滑肌痉挛、鼻翼扇动、低氧血症、呼吸音减弱、说话时字词不能连续、干咳、喘息、气急、面色苍白-二、小儿哮喘症状：-1.发作时症状-患儿烦躁不安，出现呼吸困难，以呼气困难为著，往往不能平卧，坐位时耸肩屈背，呈端坐样呼吸困难，有时喘鸣音可传至窒外，患儿面色苍白，鼻翼扇动，口唇，指甲紫绀，甚至冷汗淋淳，面容怕恐不安，往往显示危重状态，应予积极处理。-发病初起仅有干咳，以后即表现为喘息症状，随支气管痉挛缓解，排出粘稠白色痰液，呼吸逐渐平复，有的患儿咳嗽剧烈可致上腹部肌肉疼痛，可伴或不伴有发热，胸部体征的吸气时出现胸凹陷等三凹征，而呼气时因胸廓内压增高，在胸骨上凹及肋间隙反见凸出，同时颈静脉显著怒张，叩诊两肺呈鼓音，并有膈肌下移，心浊音界缩小，提示已发生肺气肿(但在儿童患独，此种肺气肿体征在病情缓解时多自行消失，故称肺充气征)，此时呼吸音减弱，全肺可闻喘鸣音及干性罗音，严重病例，尤其哮喘持续状态，两肺几乎吸不到呼吸音，并由于肺动脉痉挛而致右心负荷增加，以及严重低氧血症导致心功能衰竭。-临床表现也随引起哮喘发作的变应原而异，由上呼吸道感染引起者，胸部常可闻干，湿罗音，并伴发热，白细胞总数增多等现象，如为吸入变应原引志者，先多伴有鼻痒，流清涕，打嚏，干咳，然后出现喘憋，对食物有高度敏感者，大都不发热，除发生哮喘症状外常有口唇及面部浮肿，呕吐，腹痛，腹泻及荨麻疹等症状，多于进食后数分钟出现，如对食物敏感度较轻，则发生症状比较迟缓，往往只有轻度哮喘或呼吸困难。-2.发作间歇期症状-此时虽无呼吸困难，表现如正常儿童，但仍可自觉胸部不适，由于导致支气管易感性的病理因素依然存在，在感染或接触外界变应原时可立即触发哮喘发作，但多数患儿症状可全部消失，肺部听不到哮鸣音。-支气管哮喘患儿的痰液一般是无色粘稠而透明的，有时呈泡沫状，伴有细菌感染时痰液可转黄，痰中可查到大量嗜酸粒细胞，有时可见到夏一科氏(Chancot-Lyden)结晶，后者是嗜0于低分子量的多肽，多数患儿痰粘稠不易咯出，量少，特症状缓解时，则于咯出多量粘稠而泡沫的痰后呼吸困难明显改善，但在婴幼儿及学龄前儿童，痰液大部分咽下。-3.慢性反复发作症状-哮喘本身为一慢性疾病，但有的患儿常年发作，或虽可用药物控制，但缓解期甚短，大多是由于急性发作控制不利或反复感染而发生的结果，由于长期支气管痉挛，气道阻力增加而致肺气肿，体格检查可见胸部呈桶状，前后径加大，肺底下移，心脏相对浊音界缩小，有时虽无急性发作，但活动后亦常感胸闷气急，肺部常可闻及哮央音，或经常合并感染，痰多，由炎性分泌物阻塞而发生肺不张，大多见于右肺中叶，有的发展成支气管扩张，大多见于右肺中叶，有的发展成支气管扩张，偶见合并纵隔气肿或气胸，严重者有程度不等的心肺功能损害，甚至发生肺源性心脏病，对合并变态瓟生鼻炎的患儿，亦可发展成慢性鼻窦炎，中耳炎，随着病程迁延，氧代谢障碍加重，这些患儿常表现身材矮小，营养不良，驼背，往往呈类似件会面的状态。-三、小儿哮喘诊断：-1.儿童哮喘诊断标准(全国儿童哮喘防治协作组1998年制定的试行方案)-1)婴幼儿哮喘诊断标准：①年龄<3岁，哮喘发作≥3次。②发作时双肺闻及呼气相哮鸣音，呼气相延长。③具有特应性体质，如过敏性湿疹，过敏性鼻炎等。④父母有哮喘病等过敏性史。⑤除外其他引起喘息的疾病。-凡具有以上①，②，⑤条即可诊断哮喘，如喘息发作2次，并具有第②，⑤条，诊断为可疑哮喘或喘息性支气管炎，如同时具有第③和(或)第④条时，可考虑给予哮喘治疗性诊断。-2)儿童哮喘诊断标准：①年龄≥3岁，喘息呈反复发作者(或可追溯与某种变应原或刺激因素有关)。②发作时双肺闻及以呼气相为主的喘鸣音，呼气相延长。③支气管扩张剂有明显疗效。④除外其他引起喘息，胸闷和咳嗽的疾病。-对各年龄组疑似哮喘同时肺部有哮鸣音者，可作以下任何一项支气管扩张试验：①用β2受体激动药的气雾剂或溶液雾化吸入(剂量及方法参考上述支气管扩张试验);②1‰肾上腺素皮下注射0.01ml/kg，每次最大量不超过0.3ml，在作以上任何一项试验后15min，如果喘息明显缓解及肺部哮鸣音明显减少，或FEV1改善≥15%，支气管扩张试验阳性，可作哮喘诊断。-3)咳嗽变异性哮喘(CVA)诊断标准：①咳嗽持续或反复发作>1个月，常在夜间和(或)清晨发作，痰少，与闻到刺激性气味，气候改变，运动等有关。②临床无感染征象，或经较长期抗生素治疗无效。③有个人过敏史或家族过敏史，变应原皮试阳性可辅助诊断。④存在气道高反应性(支气管激发试验阳性)，支气管扩张试验阳性或PEF日变异率或周变异率≥15%。⑤支气管扩张剂和(或)糖皮质激素治疗可使咳嗽发作缓解(基本诊断条件)。-2.哮喘的分期及严重度分级哮喘的分期：哮喘病程可分为急性发作期及缓解期，哮喘急性发作是指气促，咳嗽，胸闷等症状突然发生或加重，常有呼吸困难和喘鸣，伴有呼气流量降低，缓解期系指经过治疗或未经治疗症状，体征消失，肺功能恢复到急性发作前水平，并维持4周以上。-哮喘病情的评价：哮喘患者的病情评价应分为2个部分：-1)非急性发作期病情的总评价：许多哮喘患者即使就诊当时没有急性发作，但在相当长的时间内总是不同频度和(或)不同程度地出现症状(喘息，咳嗽，胸闷)，因此需要依据就诊前一段时间的发作频率，严重程度，需用药物和肺功能情况对其病情进行总的评价。-当患者已经处于规范化分级治疗期间，哮喘病情严重程度分级则应根据目前的临床表现以及目前每天治疗方案的级别进行综合判断，该分级方法反映了哮喘患者对采用的治疗方案的反应情况，即反映了病情控制情况，以此对选用的治疗方案适时进行调整(升级或降级)。-2)哮喘急性发作时严重程度的评价：对哮喘急性发作病情严重程度作出正确评估，是给予及时有效治疗的基础，对重症哮喘的认识，是避免哮喘引起死亡的关键。-查看更多关于-小儿哮喘有哪些症状-的相关常识>>
http://www.qiuyi.cn/department/626/index.html,紫绀-干咳-呼吸衰竭-一、-肺纤维化常见症状-紫绀、干咳、湿啰音、呼吸衰竭、低氧血症、气急-二、肺纤维化症状-起病隐匿，进行性加重。表现为进行性气急，干咳少痰或少量白黏痰，晚期出现以低氧血症为主的呼吸衰竭。查体可见胸廓呼吸运动减弱，双肺可闻及细湿罗音或捻发音。有不同程度紫绀和杵状指。晚期可出现右心衰竭体征。-查看更多关于-肺纤维化有哪些症状-的相关常识>>
